repo,pr_number,mean_toxicity,max_toxicity,mean_sentiment,mean_anger,mean_politeness
vercel/next.js,69638,0.001049814687576145,0.0012012801598757505,-0.11734045669436455,0.19222744926810265,0.0
vercel/next.js,69642,0.0010759050492197275,0.0010759050492197275,0.08437536843121052,0.012147815898060799,0.0
vercel/next.js,69644,0.0060069246932731146,0.036944370716810226,0.2001621086549546,0.019651589382972037,0.07705243193022515
vercel/next.js,69648,0.0036599219019990414,0.006441223900765181,-0.21363642998039722,0.054823437705636024,0.0
vercel/next.js,69651,0.0011715517030097544,0.0014500190736725926,-0.14696845086291432,0.055657741613686085,0.0
vercel/next.js,69652,0.0011112327629234642,0.001645545125938952,0.009871229529380798,0.010648994240909815,0.0
vercel/next.js,69655,0.0009952530963346362,0.0009952530963346362,0.028499631211161613,0.021842507645487785,0.0
vercel/next.js,69657,0.0010878237371798605,0.0012012801598757505,-0.12526371609419584,0.19530251435935497,0.0
vercel/next.js,69658,0.0008404726589409014,0.0009983933996409178,-0.021867710476120312,0.019697447617848713,0.0
vercel/next.js,69659,0.0009718345711007715,0.0013890687841922045,-0.3090364869683981,0.1079749871045351,0.0
vercel/next.js,69660,0.0009187230607494712,0.0009187230607494712,0.031587978824973106,0.022191122174263,0.0
vercel/next.js,69661,0.0009460673318244517,0.0009460673318244517,0.05480575934052467,0.029711546376347542,0.0
vercel/next.js,69662,0.0010800515592563897,0.0012012801598757505,-0.12429891154170036,0.19338643364608288,0.0
vercel/next.js,69663,0.0010555911576375365,0.0012012801598757505,-0.10347995534539223,0.19436542876064777,0.0
vercel/next.js,69664,0.0009109838865697384,0.0009109838865697384,0.06578652746975422,0.023104730993509293,0.0
vercel/next.js,69665,0.0006510159582830966,0.0006510159582830966,-0.07397826015949249,0.07860618829727173,0.0
vercel/next.js,69667,0.002235584497351998,0.03982629254460335,-0.2550535585032776,0.05120085788491581,0.07836330133482863
vercel/next.js,69668,0.0007274456787854433,0.0012012801598757505,-0.13153317123651503,0.03241750083398074,0.1171096233464161
vercel/next.js,69669,0.00144669009023346,0.0019599241204559803,-0.20626889821141958,0.053028288297355175,0.0
vercel/next.js,69670,0.0011116277310065925,0.0012012801598757505,-0.12347264960408211,0.19475463218986988,0.0
vercel/next.js,69671,0.0010883482464123517,0.0012012801598757505,-0.12813409138470888,0.19393848348408937,0.0
vercel/next.js,69673,0.0012012801598757505,0.0012012801598757505,-0.27355195209383965,0.36557385325431824,0.0
vercel/next.js,69674,0.004223505966365337,0.004223505966365337,-0.3571447767317295,0.10738269239664078,0.0
vercel/next.js,69675,0.000921987423983713,0.0012012801598757505,-0.08250778975586097,0.13636417128145695,0.0
vercel/next.js,69680,0.0008106110501103104,0.0012012801598757505,-0.17176440078765154,0.08967783190310001,0.03925922119267922
vercel/next.js,69681,0.0015390311600640416,0.0015390311600640416,-0.3665346670895815,0.19053275883197784,0.0
vercel/next.js,69684,0.0009872261628819008,0.0012012801598757505,-0.08112746973832448,0.1340509963532289,0.0
vercel/next.js,69686,0.0009143038769252598,0.0009143038769252598,0.038662439212203026,0.016173863783478737,0.0
vercel/next.js,69689,0.0005886834114789963,0.0005886834114789963,0.11711851321160793,0.08957190811634064,0.0
vercel/next.js,69691,0.0009330364991910756,0.0009330364991910756,0.030364252626895905,0.02305738441646099,0.0
vercel/next.js,69695,0.001289305801037699,0.0014483360573649406,0.10520604904741049,0.010796119924634695,0.0
vercel/next.js,69696,0.0033840732066892087,0.005778183229267597,-0.1674179956316948,0.06374108139425516,0.0
vercel/next.js,69703,0.0009435465132507185,0.0012012801598757505,-0.16615800621608892,0.13250147675474486,0.0
vercel/next.js,69704,0.0009736389038152993,0.0009736389038152993,0.026029860600829124,0.0231215450912714,0.0
vercel/next.js,69721,0.0013447931269183755,0.0017159595154225826,-0.09364810027182102,0.08115434180945158,0.0
vercel/next.js,69722,0.001062871830072254,0.0012012801598757505,-0.10154842212796211,0.19609433133155107,0.0
vercel/next.js,69724,0.0005957996938377619,0.0006610586424358189,0.04944298006594181,0.010378685174509883,0.0
vercel/next.js,69727,0.001363641582429409,0.001363641582429409,0.09347152523696423,0.01119178906083107,0.0
vercel/next.js,69728,0.0009702352108433843,0.0016497918404638767,0.09291127758721511,0.012481809283296267,0.06386298328533392
vercel/next.js,69729,0.0010771618981380016,0.0012012801598757505,-0.12637106608599424,0.19400491192936897,0.0
vercel/next.js,69730,0.0010426733933854848,0.0012012801598757505,-0.12019646819680929,0.193761489354074,0.0
vercel/next.js,69731,0.0010997002245858312,0.0010997002245858312,0.09171160124242306,0.011660752817988396,0.0
vercel/next.js,69733,0.001112193043809384,0.001226806198246777,-0.3555550317590435,0.16011746848622957,0.0
vercel/next.js,69734,0.001039943701471202,0.0014414265751838684,-0.2714463564334437,0.07154995779274032,0.0
vercel/next.js,69737,0.0010929260752163827,0.0012012801598757505,-0.09611033368855715,0.19544098433107138,0.0
vercel/next.js,69738,0.000845267775002867,0.0012012801598757505,-0.23120066039264203,0.11611115243285894,0.09041711341951421
vercel/next.js,69739,0.0013159134541638196,0.0016502903308719397,-0.14539360720664263,0.04260183498263359,0.0
vercel/next.js,69744,0.0006396849057637155,0.0006665743421763182,-0.4442906060721725,0.039318265626206994,0.0
vercel/next.js,69745,0.002792808983940631,0.0046615260653197765,-0.20100795850157738,0.06934162694960833,0.0
vercel/next.js,69749,0.0009010616922751069,0.0012012801598757505,0.014187891657153765,0.1321424919491013,0.0
vercel/next.js,69755,0.0009517681901343167,0.0009517681901343167,-0.3899986632168293,0.14658807218074799,0.0
vercel/next.js,69757,0.0013008869718760252,0.0013008869718760252,-0.24371916987001896,0.11726342886686325,0.0
vercel/next.js,69760,0.0013047893298789859,0.0013047893298789859,-0.4979579094797373,0.07730627059936523,0.0
vercel/next.js,69762,0.0008976122480817139,0.0012012801598757505,-0.032327876736720405,0.1310515363390247,0.0
vercel/next.js,69766,0.0009733466043447455,0.0012012801598757505,-0.11158792798717816,0.14375309211512408,0.0
vercel/next.js,69768,0.0008424682382610627,0.0012012801598757505,-0.38197682378813624,0.0596323887584731,0.03506361169994507
vercel/next.js,69771,0.0010378349397797137,0.001265490660443902,-0.308895880356431,0.020549907814711332,0.0
vercel/next.js,69772,0.001014702992203335,0.0012012801598757505,-0.1300570989648501,0.13137523798892894,0.0
vercel/next.js,69777,0.001013601276402672,0.0012012801598757505,-0.08331495088835557,0.13709744748969874,0.0
vercel/next.js,69780,0.00098531658295542,0.00098531658295542,0.03382033295929432,0.02262895740568638,0.0
vercel/next.js,69781,0.0010885662923101336,0.0012012801598757505,-0.10408667847514153,0.1933577824383974,0.0
vercel/next.js,69783,0.0010554773907642812,0.0012012801598757505,-0.12365438602864742,0.1941123530268669,0.0
vercel/next.js,69784,0.0027163673657923937,0.004405334126204252,-0.18061163555830717,0.10608682315796614,0.0
vercel/next.js,69788,0.010150190128479153,0.04743177816271782,0.08059727819636464,0.0844432007521391,0.10685434056142487
vercel/next.js,69790,0.0046323972346726805,0.00829487293958664,-0.27170087210834026,0.16835961118340492,0.0
vercel/next.js,69793,0.0009908937936415896,0.001503712497651577,-0.47566477907821536,0.042684655636548996,0.039157364449552354
vercel/next.js,69795,0.0010843790660146624,0.0012012801598757505,-0.12436907552182674,0.19529048912227154,0.0
vercel/next.js,69796,0.001280701719224453,0.001280701719224453,0.1026385948061943,0.011891826055943966,0.0
vercel/next.js,69801,0.001059572008671239,0.0012012801598757505,-0.12288266606628895,0.1936226887628436,0.0
vercel/next.js,69802,0.0006165184197016061,0.0007057287148199975,0.3123061849735677,0.010335565824061633,0.28860708628998455
vercel/next.js,69803,0.0033286298566963524,0.005737615749239922,-0.17201589420437813,0.0691172769293189,0.0
vercel/next.js,69804,0.0010817649017553777,0.0012012801598757505,-0.1234091380611062,0.19434624630957842,0.0
vercel/next.js,69805,0.0009176452876999974,0.0009176452876999974,0.03367919474840164,0.020033784210681915,0.0
vercel/next.js,69806,0.0008987557521322742,0.0012012801598757505,-0.3217664333060384,0.13332698727026582,0.07173793307066301
vercel/next.js,69807,0.0011154740932397544,0.0012012801598757505,-0.12376431189477444,0.19403334334492683,0.0
vercel/next.js,69808,0.001050650025717914,0.001050650025717914,0.01070544496178627,0.024650195613503456,0.0
vercel/next.js,69810,0.0010412588599137962,0.0012012801598757505,-0.12366591300815344,0.1939693670719862,0.0
vercel/next.js,69811,0.001121428523523112,0.0012012801598757505,-0.05243406072258949,0.1327769278238217,0.0
vercel/next.js,69819,0.0009901079853686194,0.001081580761820078,-0.28507607616484165,0.08832784493764241,0.0
vercel/next.js,69822,0.002355108542057375,0.0046935356222093105,-0.02586360244701306,0.06486399223407109,0.0
vercel/next.js,69827,0.0007141534952097572,0.0012029582867398858,0.3060551277594641,0.009099317336222157,0.1306763042041507
vercel/next.js,69828,0.0010638362145982683,0.0012012801598757505,-0.12635714001953602,0.19374224357306957,0.0
vercel/next.js,69850,0.0010398252634331584,0.0012012801598757505,-0.10064678080379963,0.19432819448411465,0.0
vercel/next.js,69855,0.0013327414635568857,0.0013327414635568857,0.11915104649960995,0.010583288036286831,0.0
vercel/next.js,69856,0.0011037425138056278,0.0012012801598757505,-0.12119519524276257,0.19363634008914232,0.0
vercel/next.js,69861,0.0022155012702569366,0.0034683842677623034,-0.17839443311095238,0.06379992607980967,0.0
vercel/next.js,69862,0.0010818543378263712,0.0012012801598757505,-0.10001797927543521,0.1948884055018425,0.0
vercel/next.js,69867,0.0010687995818443596,0.0012012801598757505,-0.12490225024521351,0.19254521373659372,0.0
vercel/next.js,69871,0.000926006177905947,0.000926006177905947,0.023537859320640564,0.02543080784380436,0.0
vercel/next.js,69875,0.0009669734863564372,0.0009669734863564372,0.019714009016752243,0.021640269085764885,0.0
vercel/next.js,69876,0.0021035324316471815,0.003190010553225875,-0.20072856917977333,0.04790508188307285,0.0
vercel/next.js,69880,0.001343059935607016,0.0016746489563956857,-0.2263618391007185,0.10586980916559696,0.0
vercel/next.js,69883,0.0011185630573891103,0.0012012801598757505,-0.12394748162478209,0.19367810059338808,0.0
vercel/next.js,69884,0.0010908933472819626,0.0012012801598757505,-0.12279291730374098,0.19412663951516151,0.0
vercel/next.js,69887,0.0012672986485995352,0.0015769776655361056,-0.14156473986804485,0.15004709735512733,0.0
vercel/next.js,69889,0.002083350884883354,0.0045196120627224445,-0.2248234711587429,0.0482481491441528,0.0
vercel/next.js,69895,0.0011152682127431035,0.0011152682127431035,0.030236417427659035,0.027378156781196594,0.0
vercel/next.js,69899,0.0011326364474371076,0.0011326364474371076,0.09887065552175045,0.010491248220205307,0.0
vercel/next.js,69900,0.0014568839687854052,0.0014568839687854052,0.10056340880692005,0.011560431681573391,0.0
vercel/next.js,69911,0.0009153883438557386,0.0009153883438557386,-0.26634530164301395,0.08083347231149673,0.0
vercel/next.js,69913,0.0010991630260832608,0.0012012801598757505,-0.12581696081906557,0.19312412664294243,0.0
